"descricao","fipeid_marca","","fipeid_modelo","tipoveiculo"
AUDI,"6",A4 LAUNCH EDITION 2.0 TFSI 190CV S TRONI,"7537",0
AUDI,"6",A5 3.2 FSI 24V 269CV MULTITRONIC,"4798",0
AUDI,"6",A5 3.2 FSI V6 24V 269CV QUATTRO TIPTRONI,"5126",0
AUDI,"6",A5 CABRIOLET 2.0 TFSI QUATTRO STRONIC,"6082",0
AUDI,"6",A5 COUPÊ 2.0 TFSI QUATTRO STRONIC,"6083",0
AUDI,"6",A5 SPORTB. 2.0 16V TFSI QUAT. S-TRONIC,"6084",0
AUDI,"6",A5 SPORTBACK 1.8 TFSI 170CV MULTI.,"7022",0
AUDI,"6",A5 SPORTBACK 2.0 16V TFSI 180CV MULTI.,"6043",0
AUDI,"6",A5 SPORTBACK 2.0 16V TFSI 211CV MULTI.,"5234",0
AUDI,"6",A5 SPORTB. PERF. 2.0 TFSI QUAT. S-TRONIC,"8564",0
AUDI,"6",A5 SPORTB. PRESTIGE 2.0 16V TFSI S-TRONI,"8565",0
AUDI,"6",A5 SPORTB.PERF.B. 2.0 TFSI QUAT. S-TRONI,"8566",0
AUDI,"6",A5 SPORTB.PRESTIGE PLUS 2.0 TFSI S-TRONC,"8567",0
AUDI,"6",A5 AMBIENTE SPORTB. 2.0 TFSI S TONIC,"7999",0
AUDI,"6",A5 AMBIT. PLUS SPORT. 2.0 TFSI S TRONIC,"8000",0
AUDI,"6",A5 AMBIT. SPORT. 2.0 TFSI S TRONIC,"8001",0
AUDI,"6",A5 ATTRACTION SPORTB. 2.0 TFSI S TRONIC,"8002",0
AUDI,"6",A5 SPORTBACK S-LINE 2.0 TFSI S-TRONIC,"8772",0
AUDI,"6",A6 PERFORMANCE 3.0 TFSI QUATTRO S.TRONIC,"8814",0
AUDI,"6",A6 2.0 TFSI 252CV S TRONIC 4P,"7254",0
AUDI,"6",A6 2.4 30V MEC,"100",0
AUDI,"6",A6 2.4 30V TIP./MULTITRONIC,"101",0
AUDI,"6",A6 2.4 AVANT 30V MEC.,"102",0
AUDI,"6",A6 2.4 AVANT 30V TIP./ MULTITRONIC,"103",0
AUDI,"6",A6 2.4 AVANT V6 30V QUATTRO MEC.,"104",0
AUDI,"6",A6 2.4 AVANT V6 30V QUATTRO TIPTRONIC,"105",0
AUDI,"6",A6 2.4 V6 30V QUATTRO MEC,"106",0
AUDI,"6",A6 2.4 V6 30V QUATTRO TIPTRONIC,"107",0
AUDI,"6",A6 2.7 30V AVANT TIPTRONIC,"108",0
AUDI,"6",A6 2.7 30V MEC.,"109",0
AUDI,"6",A6 2.7 AVANT QUATTRO TIPTRONIC,"110",0
AUDI,"6",A6 2.7 QUATTRO TIPTRONIC,"111",0
AUDI,"6",A6 2.8,"112",0
AUDI,"6",A6 2.8 30V MEC.,"113",0
AUDI,"6",A6 2.8 30V TIPTRONIC,"114",0
AUDI,"6",A6 2.8 AVANT,"115",0
AUDI,"6",A6 2.8 AVANT 30V MEC.,"116",0
AUDI,"6",A6 2.8 AVANT 30V TIPTRONIC,"117",0
AUDI,"6",A6 2.8 AVANT V6 30V QUATTRO MEC.,"118",0
AUDI,"6",A6 2.8 AVANT V6 30V QUATTRO TIPTRONIC,"119",0
AUDI,"6",A6 2.8 V6 30V QUATTRO MEC.,"120",0
AUDI,"6",A6 2.8 V6 30V QUATTRO TIPTRONIC,"121",0
AUDI,"6",A6 3.0 AVANT V6 30V 218CV MULTITRONIC 5P,"122",0
AUDI,"6",A6 3.0 AVANT. TB FSI V6 QUATTRO TIP. 5P,"5374",0
AUDI,"6",A6 3.0 AVANT.TFSI V6 QUATTRO S TRONIC 5P,"6413",0
AUDI,"6",A6 3.0 TB FSI V6 QUATTRO TIPTRONIC,"4958",0
AUDI,"6",A6 3.0 TFSI V6 QUATTRO S TRONIC 4P,"6414",0
AUDI,"6",A6 3.0 V6 30V 218CV MULTITRONIC 4P,"123",0
AUDI,"6",A6 3.2 FSI 24V 255CV MULTITRONIC,"4526",0
AUDI,"6",A6 4.2 AVANT QUATTRO TIPTRONIC,"124",0
AUDI,"6",A6 4.2 QUATTRO TIPTRONIC,"125",0
AUDI,"6",A6 ALLROAD 3.0 TFSI V6 QUATTRO S TRONIC,"6462",0
AUDI,"6",A7 SPORTBACK 2.0 TFSI S TRONIC,"7447",0
AUDI,"6",A7 SPORTBACK 3.0 TFSI QUATTRO S TRONIC,"5549",0
AUDI,"6",A7 SPORTBACK PERF. 3.0 TFSI S-TRON QUAT.,"8815",0
AUDI,"6",A8 3.0 TFSI 310CV QUATTRO TIPTRONIC 4P,"7127",0
AUDI,"6",A8 4.0 TFSI QUATTRO TIPTRONIC,"6631",0
AUDI,"6",A8 4.2 QUATTRO TIPTRONIC,"126",0
AUDI,"6",A8 4.2 V8 32V TIPTRONIC,"127",0
AUDI,"6",A8 6.0 W12 48V 450CV QUATTRO TIPTRONIC,"3928",0
AUDI,"6",A8 6.3 W12 48V QUATTRO TIPTRONIC,"5717",0
AUDI,"6",ALLROAD 2.7 30V QUATTRO TURBO TIPTRONIC,"128",0
AUDI,"6",AVANT RS2,"129",0
AUDI,"6",E-TRON Performa. Black Aut. (Elétrico),,0
AUDI,"6",E-TRON Performace Aut. (Elétrico),,0
AUDI,"6",E-TRON Sportb. Perf.Black Aut.(Elétrico),,0
AUDI,"6",E-TRON Sportback Perf. Aut. (Elétrico),,0
AUDI,"6",E-TRON RS E-TRON GT Quattro Aut. (Elétrico),,0
AUDI,"6",Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,"7255",0
AUDI,"6",Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,"6044",0
AUDI,"6",Q3 2.0 TFSI QUAT. 211/220CV S-TRONIC 5P,"6045",0
AUDI,"6",Q3 BLACK ED. 1.4 TFSI S-TRONIC/BLACK,"8230",0
AUDI,"6",Q3 PRESTIGE 1.4 TFSI S-TRONIC,"8568",0
AUDI,"6",Q3 PRESTIGE PLUS 1.4 TFSI  S-TRONIC,"8569",0
AUDI,"6",Q5 2.0 TFSI QUATTRO S TRONIC (BLINDADO),"8231",0
